  Zt    At     Elab     V real    r real    a real    W volu   ir volu   ia volu    W surf   ir surf   ia surf    r coul  
  62   144     22.1    180.127    0.798     0.841     21.656     1.07     0.595     36.275    0.793     0.865     1.208   
  62   144     22.6    180.715    0.804     0.857     19.055    1.078     0.597     37.292     0.8      0.854     1.219   
  62   144     23.0    181.061    0.819     0.854     15.59     1.102      0.6      38.714    0.818     0.866     1.246   
  62   144     25.0     181.05     0.82     0.852     15.714    1.102     0.599     38.664    0.819     0.867     1.247   
  62   144     27.0    181.038    0.821     0.851     15.837    1.102     0.598     38.613    0.819     0.867     1.247   
  62   144     29.0    181.025    0.822     0.849     15.962    1.103     0.597     38.56     0.819     0.867     1.247   
  62   144     30.0    181.012    0.822     0.847     16.093    1.103     0.596     38.505    0.819     0.868     1.247   
  62   144     32.0    180.978    0.824     0.846     16.374    1.104     0.595     38.387     0.82     0.868     1.247   
  62   144     35.0     180.94    0.825     0.846     16.661    1.104     0.593     38.268     0.82     0.868     1.248   
  62   144     40.8    180.901    0.826     0.847     16.946    1.104     0.593     38.153    0.821     0.867     1.248   
  82   208     27.0    180.864    0.826     0.846     17.233    1.105     0.592     38.036    0.821     0.868     1.248   
  82   208     29.0    180.756    0.828     0.842     18.199    1.105     0.592     37.663    0.821      0.87     1.248   
  82   208     33.0    180.699     0.83      0.83     19.224    1.104     0.597     37.298     0.82     0.874     1.247   
  82   208     39.0    177.179    0.835     0.882     28.965     1.11     0.568     32.983    0.824     0.874     1.262   
  82   208     42.0    180.167    0.851     0.818     21.696    1.121     0.581     36.283     0.83     0.854     1.266   
